RateM,YL,IR
0,0,0
0,0,0
0,0,0
0,0,0
56,80,60
56,85,70
56,90,80
56,85,80
5.6,50,40
5.6,60,30
5.6,55,30
5.6,55,30
1.12,38,30
1.12,32,35
1.12,35,20
1.12,40,50
0.56,27,20
0.56,30,15
0.56,25,20
0.56,25,35
0.37345,10,5
0.37345,20,10
0.37345,20,30
0.37345,15,35
